area_name,macroRegion,langLabel,proper_name_mentions,n_groups,cluster,membership_confidence
Kullamaa,Estonia core/west,North Estonian,41,6,2,0.999999754000176
Kuopio,Finland/Savo-Karelia,Finnish,24,7,1,0.9999999999015432
Kupanitsa,Ingria,Finnish,29,6,1,0.9999777777070235
Kurikka,Finland/Savo-Karelia,Finnish,10,5,1,0.9999999959002093
Kursi,Estonia core/west,North Estonian,45,5,2,0.9999999833776997
Kuusalu,Estonia core/west,North Estonian,264,8,2,0.9999999997577396
Kuusamo,Finland/Savo-Karelia,Finnish,28,6,1,0.9999470238382591
Käina,Estonia core/west,North Estonian,19,6,2,0.9999999616702312
Kärla,Estonia core/west,North Estonian,14,6,2,0.9999999987758974
Kõpu,Estonia core/west,North Estonian,65,7,2,0.9999999998523181
Laihia,Finland/Savo-Karelia,Finnish,18,5,1,0.9999999986666386
Laiuse,Estonia core/west,North Estonian,110,7,2,0.9999999997987832
Lapinlahti,Finland/Savo-Karelia,Finnish,15,4,1,0.9999910050545713
Lappee,Finland/Savo-Karelia,Finnish,15,6,1,0.9999999997963229
Lapua,Finland/Savo-Karelia,Finnish,11,4,1,0.9999999949225336
Lavansaari,Finland/Savo-Karelia,Finnish,11,5,1,0.9994387677282052
Lemi,Finland/Savo-Karelia,Finnish,14,4,1,0.9999995940508184
Lempaala,Finland/Savo-Karelia,Finnish,155,9,1,0.9999999999997105
Leppävirta,Finland/Savo-Karelia,Finnish,33,6,1,0.9999999748075229
Liissilä,Ingria,Finnish,64,7,1,0.9999999993525464
Liperi,Finland/Savo-Karelia,Finnish,37,7,1,0.9999999970491378
Loppi,Finland/Savo-Karelia,Finnish,21,7,1,0.9999999999994342
Luopioinen,Finland/Savo-Karelia,Finnish,10,5,1,0.9999999821169255
Lääne-Nigula,Estonia core/west,North Estonian,16,6,2,0.9999999184884361
Lüganuse,Estonia core/west,North Estonian,61,6,2,0.9999999969795876
Maaninka,Finland/Savo-Karelia,Finnish,23,6,1,0.9999998887374417
Maarja-Magdaleena,Estonia core/west,North Estonian,77,7,2,0.9999999999668985
Markkova,Ingria,Finnish,12,5,1,0.9990307304315582
Martna,Estonia core/west,North Estonian,31,5,2,0.9999999833776997
Metsäpirtti,Finland/Savo-Karelia,Finnish,31,8,1,0.9999999999862901
Mihkli,Estonia core/west,North Estonian,60,4,2,0.9999986970602521
Moloskovitsa,Ingria,Finnish,57,7,1,0.9999993840713858
Muhos,Finland/Savo-Karelia,Finnish,10,6,1,0.9999999999809521
Muhu,Estonia core/west,North Estonian,125,6,2,0.9999999993973385
Muolaa,Finland/Savo-Karelia,Finnish,17,4,1,0.9999890517801241
Mustjala,Estonia core/west,North Estonian,30,5,2,0.9999998778189777
Muurla,Finland/Savo-Karelia,Finnish,29,4,1,0.9999998350791486
Muuruvesi,Finland/Savo-Karelia,Finnish,10,5,1,0.9999876369726526
Mynämäki,Finland/Savo-Karelia,Finnish,13,4,1,0.9999997303829272
Mäntsälä,Finland/Savo-Karelia,Finnish,11,4,1,0.9999999920403511
Mäntyharju,Finland/Savo-Karelia,Finnish,23,7,1,0.9999999999174891
Märjamaa,Estonia core/west,North Estonian,85,6,2,0.999999999950711
Narvusi,Ingria,Ingrian,597,9,1,0.9999999999740758
Nilsiä,Finland/Savo-Karelia,Finnish,33,6,1,0.9999807164421088
Nurmes,Finland/Savo-Karelia,Finnish,85,9,1,0.9999999968707538
Nõo,Estonia core/west,South Estonian,45,5,2,0.9999999350093786
Orimattila,Finland/Savo-Karelia,Finnish,15,6,1,0.9999999999994653
Otepää,Estonia core/west,South Estonian,42,5,2,0.9999999967416056
Oulu,Finland/Savo-Karelia,Finnish,10,5,1,0.9999995066995604
Paide,Estonia core/west,North Estonian,43,4,2,0.9990908317304058
Paistu,Estonia core/west,South Estonian,515,7,2,0.9999999902175452
Palamuse,Estonia core/west,North Estonian,175,7,2,0.9999999996516413
Paltamo,Finland/Savo-Karelia,Finnish,28,7,1,0.9999808259959061
Peetri,Estonia core/west,North Estonian,145,6,2,0.9999999998334648
Perniö,Finland/Savo-Karelia,Finnish,10,6,1,0.9999999999437801
Pieksämäki,Finland/Savo-Karelia,Finnish,20,6,1,0.9999986254763519
Pielavesi,Finland/Savo-Karelia,Finnish,62,8,1,0.9999999999933262
Pielisjärvi,Finland/Savo-Karelia,Finnish,37,8,1,0.9999999996078817
Piippola,Finland/Savo-Karelia,Finnish,13,5,1,0.9999993280165775
Pilistvere,Estonia core/west,North Estonian,142,6,2,0.9999999869525721
Pistojärvi,East Karelia/Veps/Tver,Karelian Proper,12,4,1,0.9946826226475779
Porajärvi,East Karelia/Veps/Tver,Karelian Proper,101,7,1,0.9999964123195193
Pudasjärvi,Finland/Savo-Karelia,Finnish,19,7,1,0.9999999999608677
Puhja,Estonia core/west,South Estonian,77,6,2,0.999999990230938
Puolanka,Finland/Savo-Karelia,Finnish,14,7,1,0.9999999997362234
Puumala,Finland/Savo-Karelia,Finnish,23,5,1,0.9999999986314041
Pyhäjärvi Ol.,Finland/Savo-Karelia,Finnish,14,6,1,0.9999995027306412
Pyhäjärvi Ul.,Finland/Savo-Karelia,Finnish,14,5,1,0.9999999915774898
Pyhäjärvi Vpl.,Finland/Savo-Karelia,Finnish,27,7,1,0.9999999977162579
Pälkjärvi,Finland/Savo-Karelia,Finnish,16,5,1,0.9999999955380465
Pärnu,Estonia core/west,North Estonian,118,6,2,0.999999999950711
Pärnu-Jaagupi,Estonia core/west,North Estonian,139,7,2,0.9999999999534195
Põltsamaa,Estonia core/west,North Estonian,193,7,2,0.9999999992319228
Põlva,South Estonia/Seto,South Estonian,66,7,2,0.9999999999725064
Pöide,Estonia core/west,North Estonian,74,7,2,0.9999999999697389
Pöytyä,Finland/Savo-Karelia,Finnish,15,4,1,0.9999999878195541
Pühalepa,Estonia core/west,North Estonian,41,7,2,0.9999999995785656
Rakvere,Estonia core/west,North Estonian,30,6,2,0.999999999950711
Rannu,Estonia core/west,South Estonian,55,7,2,0.9999999999668985
Ranua,Finland/Savo-Karelia,Finnish,19,4,1,0.9999999949225336
Rapla,Estonia core/west,North Estonian,57,5,2,0.9999998954939798
Rautavaara,Finland/Savo-Karelia,Finnish,21,4,1,0.9999995695348914
Reigi,Estonia core/west,North Estonian,19,5,2,0.9999999206259171
Renko,Finland/Savo-Karelia,Finnish,14,5,1,0.9999999963157085
Repola,East Karelia/Veps/Tver,Karelian Proper,118,9,1,0.9999999843343313
Ridala,Estonia core/west,North Estonian,33,4,2,0.9999991535535647
Risti,Estonia core/west,North Estonian,113,7,2,0.9999999893350672
Rovaniemi,Finland/Savo-Karelia,Finnish,29,7,1,0.9999999768563701
Ruovesi,Finland/Savo-Karelia,Finnish,12,4,1,0.9999999981624423
Räpina,South Estonia/Seto,South Estonian,214,7,2,0.9999999998901234
Rääkkylä,Finland/Savo-Karelia,Finnish,38,6,1,0.9999999965197497
Rääpyvä,Ingria,Finnish,15,5,1,0.9999948247738062
Rõngu,Estonia core/west,South Estonian,153,7,2,0.9999999999668985
Rõuge,South Estonia/Seto,South Estonian,79,6,2,0.999999109768643
Saarde,Estonia core/west,North Estonian,155,6,2,0.9999998968112118
Saarijärvi,Finland/Savo-Karelia,Finnish,67,9,1,0.9999999999652096
Sakkola,Finland/Savo-Karelia,Finnish,32,7,1,0.9999999555783018
Salmi,East Karelia/Veps/Tver,Livvi-Karelian,114,8,1,0.9999999718269481
Sangaste,Estonia core/west,South Estonian,141,7,2,0.9999999999668985
Savitaipale,Finland/Savo-Karelia,Finnish,14,6,1,0.9999901007040857
Savonlinna,Finland/Savo-Karelia,Finnish,14,4,1,0.9999999961255144
Seiskari,Finland/Savo-Karelia,Finnish,14,5,1,0.9997337450128299
Serepetta,Ingria,Finnish,40,8,1,0.9999951816351514
Setumaa,South Estonia/Seto,South Estonian,471,7,2,0.9999999999668985
Simo,Finland/Savo-Karelia,Finnish,11,5,1,0.9999999822411604
Simuna,Estonia core/west,North Estonian,93,7,2,0.9999999997577396
Skuoritsa,Ingria,Finnish,15,4,1,0.999931921280837
Soanlahti,East Karelia/Veps/Tver,Finnish,51,8,1,0.9999999995267528
Sodankylä,Finland/Savo-Karelia,Finnish,15,4,1,0.999997403633217
Soikkola,Ingria,Ingrian,254,8,1,0.9999999991582129
Somero,Finland/Savo-Karelia,Finnish,21,4,1,0.9999998350791486
Sonkajärvi,Finland/Savo-Karelia,Finnish,25,6,1,0.9999999780848985
Sortavala,East Karelia/Veps/Tver,Finnish,35,8,1,0.9999999990558317
Sotkamo,Finland/Savo-Karelia,Finnish,36,7,1,0.9999999942121693
Soutjärvi,East Karelia/Veps/Tver,Veps,17,4,1,0.9971636990861403
Suistamo,East Karelia/Veps/Tver,Livvi-Karelian,598,9,1,0.9999999999761426
Suojärvi,East Karelia/Veps/Tver,Finnish,352,9,1,0.9999999817519251
Suomussalmi,Finland/Savo-Karelia,Finnish,23,8,1,0.9999999998687024
Suonenjoki,Finland/Savo-Karelia,Finnish,19,7,1,0.9999992181590046
Suure-Jaani,Estonia core/west,North Estonian,281,7,2,0.9999999997577396
Sysmä,Finland/Savo-Karelia,Finnish,12,4,1,0.999999844579779
Sääksmäki,Finland/Savo-Karelia,Finnish,40,5,1,0.9999999858265155
Säämäjärvi,East Karelia/Veps/Tver,Livvi-Karelian,10,5,1,0.9999643296416095
Tammela,Finland/Savo-Karelia,Finnish,42,5,1,0.9999999986666386
Tampere,Finland/Savo-Karelia,Finnish,12,5,1,0.9999999936493511
Tartu-Maarja,Estonia core/west,South Estonian,51,5,2,0.9999999350093786
Tarvastu,Estonia core/west,South Estonian,361,7,2,0.9999999998950537
Terijoki,Finland/Savo-Karelia,Finnish,11,5,1,0.9998231470752976
Tervo,Finland/Savo-Karelia,Finnish,14,7,1,0.9999999999995426
Tervola,Finland/Savo-Karelia,Finnish,10,4,1,0.996758756315209
Tohmajärvi,Finland/Savo-Karelia,Finnish,53,8,1,0.9999999986348458
Toksova,Ingria,Finnish,45,8,1,0.9999998455838671
Tori,Estonia core/west,North Estonian,201,7,2,0.9999999997577396
Torma,Estonia core/west,North Estonian,256,6,2,0.9999999999649738
Tulemajärvi,East Karelia/Veps/Tver,Livvi-Karelian,69,7,1,0.999985002318171
Turku,Finland/Savo-Karelia,Finnish,10,5,1,0.9999999944547344
Tuulos,Finland/Savo-Karelia,Finnish,13,4,1,0.9999995695348914
Tuupovaara,Finland/Savo-Karelia,Finnish,33,6,1,0.9999999961476016
Tuusniemi,Finland/Savo-Karelia,Finnish,14,4,1,0.9999997727161417
Tyrvää,Finland/Savo-Karelia,Finnish,20,6,1,0.9999998771247705
Tyrö,Ingria,Finnish,102,8,1,0.9999999773043176
Tõstamaa,Estonia core/west,North Estonian,111,7,2,0.9999999997577396
Töysä,Finland/Savo-Karelia,Finnish,18,5,1,0.9999999942243503
Türi,Estonia core/west,North Estonian,81,7,2,0.9999999998523181
Uhtua,East Karelia/Veps/Tver,Karelian Proper,47,8,1,0.9999999993187667
Urvaste,South Estonia/Seto,South Estonian,202,7,2,0.9999999999668985
Uskela,Finland/Savo-Karelia,Finnish,48,6,1,0.9999999999319051
Uukuniemi,East Karelia/Veps/Tver,Finnish,29,6,1,0.9999960189074921
Uusikaupunki,Finland/Savo-Karelia,Finnish,21,5,1,0.999999978618747
Uusikirkko Tl.,Finland/Savo-Karelia,Finnish,10,4,1,0.9999995940508184
Vaivara,Estonia core/west,North Estonian,61,6,2,0.999999999742542
Valtimo,Finland/Savo-Karelia,Finnish,12,5,1,0.999991153770181
Varbla,Estonia core/west,North Estonian,105,6,2,0.9999999998334648
Varpaisjärvi,Finland/Savo-Karelia,Finnish,15,4,1,0.9999231849799539
Vastseliina,South Estonia/Seto,South Estonian,114,6,2,0.9998479747691984
Venjoki,Ingria,Finnish,54,8,1,0.9999999999761426
Vieljärvi,East Karelia/Veps/Tver,Livvi-Karelian,24,6,1,0.9999997653208235
Vigala,Estonia core/west,North Estonian,151,7,2,0.9999999999021263
Vihanti,Finland/Savo-Karelia,Finnish,12,4,1,0.999981385710875
Viitasaari,Finland/Savo-Karelia,Finnish,11,4,1,0.9999390068426983
Viljandi,Estonia core/west,North Estonian,318,7,2,0.9999999689851191
Virtasalmi,Finland/Savo-Karelia,Finnish,14,6,1,0.9999996806234458
Viru-Jaagupi,Estonia core/west,North Estonian,54,5,2,0.9999999321083642
Viru-Nigula,Estonia core/west,North Estonian,124,7,2,0.9999999998950537
Vuokkiniemi,East Karelia/Veps/Tver,Karelian Proper,138,8,1,0.9999752572164381
Vuole,Ingria,Finnish,124,10,1,0.9999999999445475
Väike-Maarja,Estonia core/west,North Estonian,154,7,2,0.9999999998523181
Vändra,Estonia core/west,North Estonian,166,6,2,0.9999996868763563
Võnnu,Estonia core/west,South Estonian,101,6,2,0.9999999999278577
Yläne,Finland/Savo-Karelia,Finnish,13,5,1,0.9999999980555865
Äksi,Estonia core/west,North Estonian,93,6,2,0.9999999755370513
Östmark,Finland/Savo-Karelia,Finnish,18,6,1,0.9999804471485185
